hh_type,hh_id
Couple with dependent children,HHA10_10001
Couple with no children,HHA10_10002
Couple with no children,HHA10_10003
Couple with no children,HHA10_10004
Live alone,HHA10_10005
Couple with independent children only,HHA10_10006
Live alone,HHA10_10007
Couple with no children,HHA10_10008
Couple with no children,HHA10_10010
Couple with no children,HHA10_10011
Live alone,HHA10_10012
Two or more non-family adults,HHA10_10013
Lone parent with dependent children,HHA10_10015
Couple with no children,HHA10_10016
Couple with no children,HHA10_10017
Couple with no children,HHA10_10018
Two or more non-family adults,HHA10_10019
Live alone,HHA10_10020
Live alone,HHA10_10021
Live alone,HHA10_10022
Couple with independent children only,HHA10_10023
Live alone,HHA10_10024
Live alone,HHA10_10025
Live alone,HHA10_10027
Other,HHA10_10028
Couple with dependent children,HHA10_10029
Couple with dependent children,HHA10_10030
Couple with no children,HHA10_10032
Couple with independent children only,HHA10_10033
Two or more non-family adults,HHA10_10034
Couple with no children,HHA10_10037
Couple with dependent children,HHA10_10038
Couple with independent children only,HHA10_10039
Couple with dependent children,HHA10_10040
Couple with independent children only,HHA10_10041
Live alone,HHA10_10043
Couple with independent children only,HHA10_10044
Couple with independent children only,HHA10_10045
Live alone,HHA10_10047
Couple with independent children only,HHA10_10048
Couple with no children,HHA10_10049
Live alone,HHA10_10051
Couple with no children,HHA10_10052
Couple with dependent children,HHA10_10053
Couple with no children,HHA10_10054
Live alone,HHA10_10055
Couple with dependent children,HHA10_10056
Live alone,HHA10_10057
Couple with independent children only,HHA10_10058
Other,HHA10_10059
Couple with independent children only,HHA10_10060
Couple with independent children only,HHA10_10061
Live alone,HHA10_10063
Couple with no children,HHA10_10064
Couple with independent children only,HHA10_10065
Couple with independent children only,HHA10_10066
Couple with no children,HHA10_10068
Couple with independent children only,HHA10_10069
Lone parent with independent children only,HHA10_10070
Couple with no children,HHA10_10071
Couple with dependent children,HHA10_10072
Live alone,HHA10_10074
Live alone,HHA10_10075
Couple with independent children only,HHA10_10076
Two or more non-family adults,HHA10_10078
Live alone,HHA10_10079
Live alone,HHA10_10080
Couple with dependent children,HHA10_10083
Couple with independent children only,HHA10_10084
Other,HHA10_10085
Couple with independent children only,HHA10_10086
Couple with independent children only,HHA10_10087
Live alone,HHA10_10088
Couple with independent children only,HHA10_10089
Live alone,HHA10_10090
Couple with independent children only,HHA10_10091
Live alone,HHA10_10092
Couple with no children,HHA10_10093
Live alone,HHA10_10094
Live alone,HHA10_10095
Couple with independent children only,HHA10_10096
Couple with no children,HHA10_10097
Couple with no children,HHA10_10098
Lone parent with independent children only,HHA10_10099
Couple with independent children only,HHA10_10103
Couple with independent children only,HHA10_10104
Couple with independent children only,HHA10_10105
Couple with no children,HHA10_10106
Live alone,HHA10_10107
Couple with independent children only,HHA10_10108
Live alone,HHA10_10109
Couple with dependent children,HHA10_10111
Couple with dependent children,HHA10_10112
Live alone,HHA10_10113
Couple with independent children only,HHA10_10115
Live alone,HHA10_10116
Couple with independent children only,HHA10_10117
Couple with no children,HHA10_10118
Couple with independent children only,HHA10_10119
Lone parent with independent children only,HHA10_10120
Couple with independent children only,HHA10_10121
Couple with dependent children,HHA10_10122
Couple with no children,HHA10_10123
Live alone,HHA10_10125
Other,HHA10_10126
Live alone,HHA10_10127
Live alone,HHA10_10128
Live alone,HHA10_10129
Couple with dependent children,HHA10_10130
Couple with independent children only,HHA10_10131
Households containing two or more families,HHA10_10134
Live alone,HHA10_10135
Couple with no children,HHA10_10136
Other,HHA10_10137
Couple with independent children only,HHA10_10138
Couple with no children,HHA10_10140
Live alone,HHA10_10141
Couple with independent children only,HHA10_10142
Couple with dependent children,HHA10_10143
Lone parent with independent children only,HHA10_10144
Couple with dependent children,HHA10_10145
Live alone,HHA10_10146
Live alone,HHA10_10147
Couple with independent children only,HHA10_10148
Couple with independent children only,HHA10_10149
Live alone,HHA10_10150
Couple with independent children only,HHA10_10151
Couple with independent children only,HHA10_10152
Couple with independent children only,HHA10_10153
Live alone,HHA10_10154
Live alone,HHA10_10155
Couple with independent children only,HHA10_10156
Couple with independent children only,HHA10_10157
Live alone,HHA10_10158
Live alone,HHA10_10159
Live alone,HHA10_10161
Couple with dependent children,HHA10_10162
Couple with no children,HHA10_10163
Couple with independent children only,HHA10_10164
Live alone,HHA10_10165
Couple with no children,HHA10_10166
Two or more non-family adults,HHA10_10167
Couple with no children,HHA10_10168
Live alone,HHA10_10169
Other,HHA10_10170
Couple with no children,HHA10_10171
Live alone,HHA10_10172
Couple with independent children only,HHA10_10173
Couple with dependent children,HHA10_10174
Couple with no children,HHA10_10175
Couple with no children,HHA10_10176
Live alone,HHA10_10179
Couple with independent children only,HHA10_10180
Couple with independent children only,HHA10_10181
Couple with no children,HHA10_10182
Two or more non-family adults,HHA10_10183
Couple with no children,HHA10_10184
Live alone,HHA10_10186
Couple with dependent children,HHA10_10188
Couple with no children,HHA10_10189
Couple with dependent children,HHA10_10190
Live alone,HHA10_10191
Two or more non-family adults,HHA10_10192
Live alone,HHA10_10193
Couple with no children,HHA10_10194
Couple with dependent children,HHA10_10195
Couple with dependent children,HHA10_10197
Couple with no children,HHA10_10198
Live alone,HHA10_10199
Live alone,HHA10_10200
Couple with no children,HHA10_10201
Couple with independent children only,HHA10_10202
Live alone,HHA10_10203
Households containing two or more families,HHA10_10204
Live alone,HHA10_10205
Couple with independent children only,HHA10_10206
Other,HHA10_10207
Couple with dependent children,HHA10_10208
Couple with no children,HHA10_10209
Other,HHA10_10211
Lone parent with independent children only,HHA10_10213
Live alone,HHA10_10214
Other,HHA10_10219
Couple with no children,HHA10_10220
