"part_id","part_occupation","multiple_contacts_child_work","multiple_contacts_child_school","multiple_contacts_child_other","multiple_contacts_adult_work","multiple_contacts_adult_school","multiple_contacts_adult_other","multiple_contacts_older_adult_work","multiple_contacts_older_adult_school","multiple_contacts_older_adult_other","multiple_contacts_child_work_phys","multiple_contacts_child_school_phys","multiple_contacts_child_other_phys","multiple_contacts_adult_work_phys","multiple_contacts_adult_school_phys","multiple_contacts_adult_other_phys","multiple_contacts_older_adult_work_phys","multiple_contacts_older_adult_school_phys","multiple_contacts_older_adult_other_phys","panel_id"
"A1_10001","Architects, engineers and related professionals not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10001"
"A1_10002","Extraction and building trades workers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10002"
"A1_10003","Housewife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10003"
"A1_10004","Office clerks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10004"
"A1_10005","Customer services clerks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10005"
"A1_10006","Protective services workers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10006"
"A1_10007","Administrative associate professionals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10007"
"A1_10008","Administrative associate professionals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10008"
"A1_10009","Labourers in mining, construction, manufacturing and transport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10009"
"A1_10010","Housewife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10010"
"A1_10011","Housewife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10011"
"A1_10012","Office clerks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10012"
