part_id,month,year,sday_id,dayofweek,day,wave
A1_10001,3,2020,2020.03.24,2,24,1
A1_10002,3,2020,2020.03.24,2,24,1
A1_10003,3,2020,2020.03.24,2,24,1
A1_10004,3,2020,2020.03.23,1,23,1
A1_10005,3,2020,2020.03.23,1,23,1
A1_10006,3,2020,2020.03.24,2,24,1
A1_10007,3,2020,2020.03.24,2,24,1
A1_10008,3,2020,2020.03.23,1,23,1
A1_10009,3,2020,2020.03.24,2,24,1
A1_10010,3,2020,2020.03.23,1,23,1
A1_10011,3,2020,2020.03.24,2,24,1
A1_10012,3,2020,2020.03.24,2,24,1
A1_10013,3,2020,2020.03.24,2,24,1
A1_10014,3,2020,2020.03.24,2,24,1
A1_10015,3,2020,2020.03.24,2,24,1
A1_10016,3,2020,2020.03.23,1,23,1
A1_10017,3,2020,2020.03.24,2,24,1
A1_10018,3,2020,2020.03.24,2,24,1
A1_10019,3,2020,2020.03.24,2,24,1
A1_10020,3,2020,2020.03.24,2,24,1
A1_10021,3,2020,2020.03.24,2,24,1
A1_10022,3,2020,2020.03.24,2,24,1
A1_10023,3,2020,2020.03.24,2,24,1
A1_10024,3,2020,2020.03.24,2,24,1
A1_10025,3,2020,2020.03.24,2,24,1
A1_10026,3,2020,2020.03.24,2,24,1
A1_10027,3,2020,2020.03.24,2,24,1
A1_10028,3,2020,2020.03.23,1,23,1
A1_10029,3,2020,2020.03.24,2,24,1
A1_10030,3,2020,2020.03.24,2,24,1
A1_10031,3,2020,2020.03.24,2,24,1
A1_10032,3,2020,2020.03.24,2,24,1
A1_10033,3,2020,2020.03.24,2,24,1
A1_10034,3,2020,2020.03.24,2,24,1
A1_10035,3,2020,2020.03.24,2,24,1
A1_10036,3,2020,2020.03.24,2,24,1
A1_10037,3,2020,2020.03.24,2,24,1
A1_10038,3,2020,2020.03.23,1,23,1
A1_10039,3,2020,2020.03.24,2,24,1
A1_10040,3,2020,2020.03.24,2,24,1
A1_10041,3,2020,2020.03.24,2,24,1
A1_10042,3,2020,2020.03.24,2,24,1
A1_10043,3,2020,2020.03.24,2,24,1
A1_10044,3,2020,2020.03.24,2,24,1
A1_10045,3,2020,2020.03.24,2,24,1
A1_10046,3,2020,2020.03.24,2,24,1
A1_10047,3,2020,2020.03.24,2,24,1
A1_10048,3,2020,2020.03.23,1,23,1
A1_10049,3,2020,2020.03.24,2,24,1
A1_10050,3,2020,2020.03.24,2,24,1
A1_10051,3,2020,2020.03.23,1,23,1
A1_10052,3,2020,2020.03.24,2,24,1
A1_10053,3,2020,2020.03.24,2,24,1
A1_10054,3,2020,2020.03.23,1,23,1
A1_10055,3,2020,2020.03.24,2,24,1
A1_10056,3,2020,2020.03.24,2,24,1
A1_10057,3,2020,2020.03.24,2,24,1
A1_10058,3,2020,2020.03.24,2,24,1
A1_10059,3,2020,2020.03.24,2,24,1
A1_10060,3,2020,2020.03.23,1,23,1
A1_10061,3,2020,2020.03.24,2,24,1
A1_10062,3,2020,2020.03.24,2,24,1
A1_10063,3,2020,2020.03.23,1,23,1
A1_10064,3,2020,2020.03.24,2,24,1
A1_10065,3,2020,2020.03.24,2,24,1
A1_10066,3,2020,2020.03.24,2,24,1
A1_10067,3,2020,2020.03.24,2,24,1
A1_10068,3,2020,2020.03.23,1,23,1
A1_10069,3,2020,2020.03.24,2,24,1
A1_10070,3,2020,2020.03.24,2,24,1
A1_10071,3,2020,2020.03.24,2,24,1
A1_10072,3,2020,2020.03.24,2,24,1
A1_10073,3,2020,2020.03.24,2,24,1
A1_10074,3,2020,2020.03.24,2,24,1
A1_10075,3,2020,2020.03.23,1,23,1
A1_10076,3,2020,2020.03.23,1,23,1
A1_10077,3,2020,2020.03.23,1,23,1
A1_10078,3,2020,2020.03.24,2,24,1
A1_10079,3,2020,2020.03.24,2,24,1
A1_10080,3,2020,2020.03.24,2,24,1
A1_10081,3,2020,2020.03.23,1,23,1
A1_10082,3,2020,2020.03.24,2,24,1
A1_10083,3,2020,2020.03.24,2,24,1
A1_10084,3,2020,2020.03.23,1,23,1
A1_10085,3,2020,2020.03.24,2,24,1
A1_10086,3,2020,2020.03.24,2,24,1
A1_10087,3,2020,2020.03.24,2,24,1
A1_10088,3,2020,2020.03.24,2,24,1
A1_10089,3,2020,2020.03.24,2,24,1
A1_10090,3,2020,2020.03.24,2,24,1
A1_10091,3,2020,2020.03.24,2,24,1
A1_10092,3,2020,2020.03.24,2,24,1
A1_10093,3,2020,2020.03.24,2,24,1
A1_10094,3,2020,2020.03.24,2,24,1
A1_10095,3,2020,2020.03.23,1,23,1
A1_10096,3,2020,2020.03.23,1,23,1
A1_10097,3,2020,2020.03.24,2,24,1
A1_10098,3,2020,2020.03.23,1,23,1
A1_10099,3,2020,2020.03.24,2,24,1
A1_10100,3,2020,2020.03.24,2,24,1
A1_10101,3,2020,2020.03.24,2,24,1
A1_10102,3,2020,2020.03.24,2,24,1
A1_10103,3,2020,2020.03.24,2,24,1
A1_10104,3,2020,2020.03.24,2,24,1
A1_10105,3,2020,2020.03.24,2,24,1
A1_10106,3,2020,2020.03.24,2,24,1
A1_10107,3,2020,2020.03.23,1,23,1
A1_10108,3,2020,2020.03.24,2,24,1
A1_10109,3,2020,2020.03.23,1,23,1
A1_10110,3,2020,2020.03.24,2,24,1
A1_10111,3,2020,2020.03.24,2,24,1
A1_10112,3,2020,2020.03.23,1,23,1
A1_10113,3,2020,2020.03.24,2,24,1
A1_10114,3,2020,2020.03.24,2,24,1
A1_10115,3,2020,2020.03.23,1,23,1
A1_10116,3,2020,2020.03.24,2,24,1
A1_10117,3,2020,2020.03.24,2,24,1
A1_10118,3,2020,2020.03.24,2,24,1
A1_10119,3,2020,2020.03.24,2,24,1
A1_10120,3,2020,2020.03.24,2,24,1
A1_10121,3,2020,2020.03.24,2,24,1
A1_10122,3,2020,2020.03.23,1,23,1
A1_10123,3,2020,2020.03.24,2,24,1
A1_10124,3,2020,2020.03.24,2,24,1
A1_10125,3,2020,2020.03.23,1,23,1
A1_10126,3,2020,2020.03.23,1,23,1
A1_10127,3,2020,2020.03.24,2,24,1
A1_10128,3,2020,2020.03.23,1,23,1
A1_10129,3,2020,2020.03.24,2,24,1
A1_10130,3,2020,2020.03.23,1,23,1
A1_10131,3,2020,2020.03.24,2,24,1
A1_10132,3,2020,2020.03.24,2,24,1
A1_10133,3,2020,2020.03.24,2,24,1
A1_10134,3,2020,2020.03.24,2,24,1
A1_10135,3,2020,2020.03.23,1,23,1
A1_10136,3,2020,2020.03.24,2,24,1
A1_10137,3,2020,2020.03.23,1,23,1
A1_10138,3,2020,2020.03.23,1,23,1
A1_10139,3,2020,2020.03.24,2,24,1
A1_10140,3,2020,2020.03.23,1,23,1
A1_10141,3,2020,2020.03.24,2,24,1
A1_10142,3,2020,2020.03.24,2,24,1
A1_10143,3,2020,2020.03.24,2,24,1
A1_10144,3,2020,2020.03.24,2,24,1
A1_10145,3,2020,2020.03.24,2,24,1
A1_10146,3,2020,2020.03.24,2,24,1
A1_10147,3,2020,2020.03.24,2,24,1
A1_10148,3,2020,2020.03.24,2,24,1
