"","hh_id","part_id","panel_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","month","year","sday_id","dayofweek","day","wave","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age","part_gender","part_age_group","hh_type"
"1","HHA1_10001","A1_10001",10001,"A1_10001_001",NA,35,44,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,8,4,4,0,0,0,0,3,5,42,"F","25-44",1
"2","HHA1_10002","A1_10002",10002,"A1_10002_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,66,"M","65 and over",1
"3","HHA1_10003","A1_10003",10003,"A1_10003_001",NA,70,74,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,74,"F","65 and over",1
"4","HHA1_10004","A1_10004",10004,"A1_10004_001",NA,75,79,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,72,"F","65 and over",1
"5","HHA1_10005","A1_10005",10005,"A1_10005_001",NA,25,34,"M",1,2,0,1,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,0,1,0,0,0,0,0,1,53,"M","45-64",0
"6","HHA1_10008","A1_10008",10008,"A1_10008_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,4,1,0,0,0,0,3,1,3,66,"F","65 and over",1
"7","HHA1_10009","A1_10009",10009,"A1_10009_001",NA,65,69,"F",5,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,1,1,67,"M","65 and over",1
"8","HHA1_10010","A1_10010",10010,"A1_10010_001",NA,55,64,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,2,1,0,0,0,0,1,1,1,56,"F","45-64",1
"9","HHA1_10011","A1_10011",10011,"A1_10011_001",NA,55,64,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,1,1,60,"F","45-64",1
"10","HHA1_10012","A1_10012",10012,"A1_10012_001",NA,65,69,"M",3,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,79,"M","65 and over",0
"11","HHA1_10013","A1_10013",10013,"A1_10013_001",NA,80,84,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,62,"M","45-64",1
"12","HHA1_10014","A1_10014",10014,"A1_10014_001",NA,70,74,"M",NA,2,0,0,0,0,0,1,1,3,2020,"2020.03.24",2,24,1,1,0,0,0,0,0,1,0,1,74,"M","65 and over",0
"13","HHA1_10015","A1_10015",10015,"A1_10015_001",NA,5,9,"M",3,2,0,0,0,0,0,1,1,3,2020,"2020.03.24",2,24,1,1,0,0,0,0,0,1,0,1,41,"F","25-44",1
"14","HHA1_10017","A1_10017",10017,"A1_10017_001",NA,65,69,"F",5,2,0,0,0,0,0,1,1,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,0,2,66,"M","65 and over",1
"15","HHA1_10018","A1_10018",10018,"A1_10018_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,65,"F","65 and over",1
"16","HHA1_10019","A1_10019",10019,"A1_10019_001",NA,45,54,"F",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,47,"F","45-64",1
"17","HHA1_10020","A1_10020",10020,"A1_10020_001",NA,35,44,"M",2,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,4,2,0,0,0,0,2,0,4,37,"M","25-44",1
"18","HHA1_10023","A1_10023",10023,"A1_10023_001",NA,45,54,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,0,2,52,"M","45-64",1
"19","HHA1_10024","A1_10024",10024,"A1_10024_001",NA,55,64,"M",1,2,0,0,0,0,0,1,2,3,2020,"2020.03.24",2,24,1,2,0,0,0,0,0,2,0,2,65,"M","65 and over",0
"20","HHA1_10026","A1_10026",10026,"A1_10026_001",NA,35,44,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,3,0,0,0,0,0,2,1,42,"F","25-44",1
"21","HHA1_10028","A1_10028",10028,"A1_10028_001",NA,80,84,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,0,1,58,"F","45-64",1
"22","HHA1_10029","A1_10029",10029,"A1_10029_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,6,3,0,0,0,0,3,1,5,57,"F","45-64",1
"23","HHA1_10030","A1_10030",10030,"A1_10030_001",NA,35,44,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,4,0,0,0,0,0,3,1,38,"F","25-44",1
"24","HHA1_10031","A1_10031",10031,"A1_10031_001",NA,35,44,"M",1,1,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,4,3,1,0,0,0,0,3,1,39,"F","25-44",1
