"","part_id","hh_id","part_age","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","country","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","sday_id","type","day","month","year","dayofweek","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","hh_type","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age_group"
"1",4687,"Mo08HH4687",18,"M",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,18,21,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060422,2,22,4,2006,6,67870,NA,30,40,"M",0,0,0,0,1,0,5,2,3,"Two or more person household",26,8,0,0,0,18,0,NA,NA,NA
"2",4730,"Mo08HH4730",18,"M",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,10,18,39,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060423,2,23,4,2006,0,68548,19,NA,NA,"F",1,0,0,0,0,0,2,2,3,"Two or more person household",7,7,0,0,0,0,0,0,7,NA
"3",4731,"Mo08HH4731",18,"M",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,16,18,39,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060423,2,23,4,2006,0,68555,17,NA,NA,"M",0,0,0,0,1,0,2,2,4,"Two or more person household",12,3,0,0,0,9,0,0,12,NA
"4",4737,"Mo08HH4737",18,"M",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,18,17,13,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060424,2,24,4,2006,1,68690,18,NA,NA,"F",1,0,0,0,0,0,5,2,NA,"Two or more person household",4,4,0,0,1,0,0,2,2,NA
"5",4770,"Mo08HH4770",18,"F",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,3,2,2,"United Kingdom",7,18,36,10,9,35,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060424,2,24,4,2006,1,69169,9,NA,NA,"M",1,0,0,0,0,0,1,1,4,"Two or more person household",8,6,1,0,0,0,1,4,4,NA
"6",4774,"Mo08HH4774",18,"M",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060426,2,26,4,2006,3,69224,40,NA,NA,"M",0,0,1,0,0,0,1,2,3,"Two or more person household",17,2,0,15,0,0,0,6,11,NA
"7",4776,"Mo08HH4776",18,"F",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,4,1,4,"United Kingdom",3,55,18,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060426,2,26,4,2006,3,69254,18,NA,NA,"F",0,1,0,0,0,0,2,2,4,"Two or more person household",15,6,9,0,1,1,0,6,9,NA
"8",4800,"Mo08HH4800",18,"F",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,18,50,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060426,2,26,4,2006,3,69654,19,NA,NA,"F",0,0,1,0,0,0,1,2,5,"Two or more person household",14,2,0,7,1,4,0,2,12,NA
"9",4811,"Mo08HH4811",18,"M",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,18,65,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060424,2,24,4,2006,1,69821,18,NA,NA,"M",0,0,0,0,1,0,1,2,5,"Two or more person household",6,2,0,0,0,4,0,0,6,NA
"10",4813,"Mo08HH4813",18,"F",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",5,7,10,18,37,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,2,2,5,2006,2,69834,65,NA,NA,"F",1,0,0,0,0,0,1,2,2,"Two or more person household",18,7,10,0,0,0,1,NA,NA,NA
"11",4832,"Mo08HH4832",18,"M",5,NA,NA,NA,15,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,18,21,43,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060430,2,30,4,2006,0,70202,NA,16,19,"M",0,0,0,0,1,0,2,2,4,"Two or more person household",16,3,0,0,0,14,0,6,10,NA
"12",4854,"Mo08HH4854",18,"F",4,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060503,2,3,5,2006,3,70479,30,NA,NA,"F",0,0,0,0,0,1,2,2,1,"Single person household",11,4,0,0,0,1,8,3,8,NA
"13",4858,"Mo08HH4858",18,"M",1,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,4,3,4,"United Kingdom",4,48,38,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060430,2,30,4,2006,0,70528,NA,25,35,"M",0,0,0,0,1,0,5,1,1,"Two or more person household",8,3,0,0,0,5,0,5,3,NA
