hh_id,country,hh_size
HHA10_10001,uk,4
HHA10_10002,uk,2
HHA10_10003,uk,2
HHA10_10004,uk,2
HHA10_10005,uk,1
HHA10_10006,uk,3
HHA10_10007,uk,1
HHA10_10008,uk,2
HHA10_10010,uk,2
HHA10_10011,uk,2
HHA10_10012,uk,1
HHA10_10013,uk,3
HHA10_10015,uk,4
HHA10_10016,uk,3
HHA10_10017,uk,3
HHA10_10018,uk,2
HHA10_10019,uk,2
HHA10_10020,uk,1
HHA10_10021,uk,1
HHA10_10022,uk,1
HHA10_10023,uk,3
HHA10_10024,uk,1
HHA10_10025,uk,1
HHA10_10027,uk,1
HHA10_10028,uk,2
HHA10_10029,uk,4
HHA10_10030,uk,5
HHA10_10032,uk,2
HHA10_10033,uk,2
HHA10_10034,uk,3
HHA10_10037,uk,2
HHA10_10038,uk,5
HHA10_10039,uk,4
HHA10_10040,uk,4
HHA10_10041,uk,2
HHA10_10043,uk,1
HHA10_10044,uk,2
HHA10_10045,uk,2
HHA10_10047,uk,1
HHA10_10048,uk,2
HHA10_10049,uk,3
HHA10_10051,uk,1
HHA10_10052,uk,2
HHA10_10053,uk,3
HHA10_10054,uk,2
HHA10_10055,uk,1
HHA10_10056,uk,4
HHA10_10057,uk,1
HHA10_10058,uk,2
HHA10_10059,uk,2
HHA10_10060,uk,4
HHA10_10061,uk,2
HHA10_10063,uk,1
HHA10_10064,uk,2
HHA10_10065,uk,3
HHA10_10066,uk,3
HHA10_10068,uk,2
HHA10_10069,uk,2
HHA10_10070,uk,2
HHA10_10071,uk,2
HHA10_10072,uk,4
HHA10_10074,uk,1
HHA10_10075,uk,1
HHA10_10076,uk,3
HHA10_10078,uk,2
HHA10_10079,uk,1
HHA10_10080,uk,1
HHA10_10083,uk,5
HHA10_10084,uk,2
HHA10_10085,uk,2
HHA10_10086,uk,2
HHA10_10087,uk,4
HHA10_10088,uk,1
HHA10_10089,uk,2
HHA10_10090,uk,1
HHA10_10091,uk,2
HHA10_10092,uk,1
HHA10_10093,uk,2
HHA10_10094,uk,1
HHA10_10095,uk,1
HHA10_10096,uk,3
HHA10_10097,uk,2
HHA10_10098,uk,2
HHA10_10099,uk,2
HHA10_10103,uk,2
HHA10_10104,uk,2
HHA10_10105,uk,2
HHA10_10106,uk,2
HHA10_10107,uk,1
HHA10_10108,uk,2
HHA10_10109,uk,1
HHA10_10111,uk,3
HHA10_10112,uk,5
HHA10_10113,uk,1
HHA10_10115,uk,3
HHA10_10116,uk,1
HHA10_10117,uk,2
HHA10_10118,uk,2
HHA10_10119,uk,2
HHA10_10120,uk,2
HHA10_10121,uk,2
HHA10_10122,uk,3
HHA10_10123,uk,2
HHA10_10125,uk,1
HHA10_10126,uk,2
HHA10_10127,uk,1
HHA10_10128,uk,1
HHA10_10129,uk,1
HHA10_10130,uk,4
HHA10_10131,uk,2
HHA10_10134,uk,3
HHA10_10135,uk,1
HHA10_10136,uk,2
HHA10_10137,uk,2
HHA10_10138,uk,2
HHA10_10140,uk,2
HHA10_10141,uk,1
HHA10_10142,uk,5
HHA10_10143,uk,3
HHA10_10144,uk,2
HHA10_10145,uk,4
HHA10_10146,uk,1
HHA10_10147,uk,1
HHA10_10148,uk,4
HHA10_10149,uk,2
HHA10_10150,uk,1
HHA10_10151,uk,2
HHA10_10152,uk,2
HHA10_10153,uk,2
HHA10_10154,uk,1
HHA10_10155,uk,1
HHA10_10156,uk,3
HHA10_10157,uk,3
HHA10_10158,uk,1
HHA10_10159,uk,1
HHA10_10161,uk,1
HHA10_10162,uk,4
HHA10_10163,uk,3
HHA10_10164,uk,2
HHA10_10165,uk,1
HHA10_10166,uk,2
HHA10_10167,uk,5
HHA10_10168,uk,2
HHA10_10169,uk,1
HHA10_10170,uk,2
HHA10_10171,uk,2
HHA10_10172,uk,1
HHA10_10173,uk,2
HHA10_10174,uk,5
HHA10_10175,uk,2
HHA10_10176,uk,2
HHA10_10179,uk,1
HHA10_10180,uk,2
HHA10_10181,uk,2
HHA10_10182,uk,2
HHA10_10183,uk,4
HHA10_10184,uk,2
HHA10_10186,uk,1
HHA10_10188,uk,4
HHA10_10189,uk,2
HHA10_10190,uk,4
HHA10_10191,uk,1
HHA10_10192,uk,4
HHA10_10193,uk,1
HHA10_10194,uk,2
HHA10_10195,uk,3
HHA10_10197,uk,4
HHA10_10198,uk,2
HHA10_10199,uk,1
