"part_id","hh_id","part_age","part_gender"
"A1_10001","HHA1_10001","42","F"
"A1_10002","HHA1_10002","66","M"
"A1_10003","HHA1_10003","74","F"
"A1_10004","HHA1_10004","72","F"
"A1_10005","HHA1_10005","53","M"
"A1_10006","HHA1_10006","62","M"
"A1_10007","HHA1_10007","73","M"
"A1_10008","HHA1_10008","66","F"
"A1_10009","HHA1_10009","67","M"
"A1_10010","HHA1_10010","56","F"
"A1_10011","HHA1_10011","60","F"
"A1_10012","HHA1_10012","79","M"
"A1_10013","HHA1_10013","62","M"
"A1_10014","HHA1_10014","74","M"
"A1_10015","HHA1_10015","41","F"
"A1_10016","HHA1_10016","46","M"
"A1_10017","HHA1_10017","66","M"
"A1_10018","HHA1_10018","65","F"
"A1_10019","HHA1_10019","47","F"
"A1_10020","HHA1_10020","37","M"
"A1_10021","HHA1_10021","61","M"
"A1_10022","HHA1_10022","42","F"
"A1_10023","HHA1_10023","52","M"
"A1_10024","HHA1_10024","65","M"
"A1_10025","HHA1_10025","54","M"
"A1_10026","HHA1_10026","42","F"
"A1_10027","HHA1_10027","61","M"
"A1_10028","HHA1_10028","58","F"
"A1_10029","HHA1_10029","57","F"
"A1_10030","HHA1_10030","38","F"
"A1_10031","HHA1_10031","39","F"
"A1_10032","HHA1_10032","54","M"
"A1_10033","HHA1_10033","66","M"
"A1_10034","HHA1_10034","35","F"
"A1_10035","HHA1_10035","46","F"
"A1_10036","HHA1_10036","52","M"
"A1_10037","HHA1_10037","67","M"
"A1_10038","HHA1_10038","46","F"
"A1_10039","HHA1_10039","55","F"
"A1_10040","HHA1_10040","48","F"
"A1_10041","HHA1_10041","61","F"
"A1_10042","HHA1_10042","74","M"
"A1_10043","HHA1_10043","63","F"
"A1_10044","HHA1_10044","71","F"
"A1_10045","HHA1_10045","77","F"
"A1_10046","HHA1_10046","68","M"
"A1_10047","HHA1_10047","60","F"
"A1_10048","HHA1_10048","56","F"
"A1_10049","HHA1_10049","65","F"
"A1_10050","HHA1_10050","72","F"
"A1_10051","HHA1_10051","72","M"
"A1_10052","HHA1_10052","70","F"
"A1_10053","HHA1_10053","49","M"
"A1_10054","HHA1_10054","70","M"
"A1_10055","HHA1_10055","63","F"
"A1_10056","HHA1_10056","50","F"
"A1_10057","HHA1_10057","64","M"
"A1_10058","HHA1_10058","77","M"
"A1_10059","HHA1_10059","61","M"
"A1_10060","HHA1_10060","64","M"
"A1_10061","HHA1_10061","65","F"
"A1_10062","HHA1_10062","39","F"
"A1_10063","HHA1_10063","49","F"
"A1_10064","HHA1_10064","63","F"
"A1_10065","HHA1_10065","62","M"
"A1_10066","HHA1_10066","61","M"
"A1_10067","HHA1_10067","61","F"
"A1_10068","HHA1_10068","67","F"
"A1_10069","HHA1_10069","71","F"
"A1_10070","HHA1_10070","65","F"
"A1_10071","HHA1_10071","62","M"
"A1_10072","HHA1_10072","31","M"
"A1_10073","HHA1_10073","69","F"
"A1_10074","HHA1_10074","64","F"
"A1_10075","HHA1_10075","45","M"
"A1_10076","HHA1_10076","73","F"
"A1_10077","HHA1_10077","41","F"
"A1_10078","HHA1_10078","49","M"
"A1_10079","HHA1_10079","45","F"
"A1_10080","HHA1_10080","82","F"
"A1_10081","HHA1_10081","65","F"
"A1_10082","HHA1_10082","68","F"
"A1_10083","HHA1_10083","44","M"
"A1_10084","HHA1_10084","75","M"
"A1_10085","HHA1_10085","41","M"
"A1_10086","HHA1_10086","55","M"
"A1_10087","HHA1_10087","63","M"
"A1_10088","HHA1_10088","66","M"
"A1_10089","HHA1_10089","70","F"
"A1_10090","HHA1_10090","62","M"
"A1_10091","HHA1_10091","65","M"
"A1_10092","HHA1_10092","71","M"
"A1_10093","HHA1_10093","54","F"
"A1_10094","HHA1_10094","51","F"
"A1_10095","HHA1_10095","79","M"
"A1_10096","HHA1_10096","62","M"
"A1_10097","HHA1_10097","40","M"
"A1_10098","HHA1_10098","39","M"
"A1_10099","HHA1_10099","68","F"
"A1_10100","HHA1_10100","54","F"
"A1_10101","HHA1_10101","71","M"
"A1_10102","HHA1_10102","66","M"
"A1_10103","HHA1_10103","62","M"
"A1_10104","HHA1_10104","66","F"
"A1_10105","HHA1_10105","66","F"
"A1_10106","HHA1_10106","54","M"
"A1_10107","HHA1_10107","54","F"
"A1_10108","HHA1_10108","77","F"
"A1_10109","HHA1_10109","65","F"
"A1_10110","HHA1_10110","61","F"
"A1_10111","HHA1_10111","65","F"
"A1_10112","HHA1_10112","69","M"
"A1_10113","HHA1_10113","60","F"
"A1_10114","HHA1_10114","60","F"
"A1_10115","HHA1_10115","63","F"
"A1_10116","HHA1_10116","34","F"
"A1_10117","HHA1_10117","65","F"
"A1_10118","HHA1_10118","35","M"
"A1_10119","HHA1_10119","62","F"
"A1_10120","HHA1_10120","86","F"
"A1_10121","HHA1_10121","65","F"
"A1_10122","HHA1_10122","62","M"
"A1_10123","HHA1_10123","66","F"
"A1_10124","HHA1_10124","67","F"
"A1_10125","HHA1_10125","52","M"
"A1_10126","HHA1_10126","62","M"
"A1_10127","HHA1_10127","73","M"
"A1_10128","HHA1_10128","64","F"
"A1_10129","HHA1_10129","74","F"
"A1_10130","HHA1_10130","45","F"
"A1_10131","HHA1_10131","70","M"
"A1_10132","HHA1_10132","37","F"
"A1_10133","HHA1_10133","64","M"
"A1_10134","HHA1_10134","34","F"
"A1_10135","HHA1_10135","35","M"
"A1_10136","HHA1_10136","46","M"
"A1_10137","HHA1_10137","63","M"
"A1_10138","HHA1_10138","62","F"
"A1_10139","HHA1_10139","43","M"
"A1_10140","HHA1_10140","50","M"
"A1_10141","HHA1_10141","70","F"
"A1_10142","HHA1_10142","52","M"
"A1_10143","HHA1_10143","49","F"
"A1_10144","HHA1_10144","66","F"
"A1_10145","HHA1_10145","54","F"
"A1_10146","HHA1_10146","55","F"
"A1_10147","HHA1_10147","64","M"
"A1_10148","HHA1_10148","54","M"
"A1_10149","HHA1_10149","58","M"
"A1_10150","HHA1_10150","49","F"
"A1_10151","HHA1_10151","71","M"
"A1_10152","HHA1_10152","66","F"
"A1_10153","HHA1_10153","65","F"
"A1_10154","HHA1_10154","39","M"
"A1_10155","HHA1_10155","56","M"
"A1_10156","HHA1_10156","50","M"
"A1_10157","HHA1_10157","61","F"
"A1_10158","HHA1_10158","34","F"
"A1_10159","HHA1_10159","55","M"
"A1_10160","HHA1_10160","49","F"
"A1_10161","HHA1_10161","52","F"
"A1_10162","HHA1_10162","62","M"
"A1_10163","HHA1_10163","60","F"
"A1_10164","HHA1_10164","62","F"
"A1_10165","HHA1_10165","55","M"
"A1_10166","HHA1_10166","40","F"
"A1_10167","HHA1_10167","54","M"
"A1_10168","HHA1_10168","71","F"
"A1_10169","HHA1_10169","62","M"
"A1_10170","HHA1_10170","46","M"
"A1_10171","HHA1_10171","62","M"
"A1_10172","HHA1_10172","51","M"
"A1_10173","HHA1_10173","66","M"
"A1_10174","HHA1_10174","58","M"
"A1_10175","HHA1_10175","55","M"
"A1_10176","HHA1_10176","61","M"
"A1_10177","HHA1_10177","49","F"
"A1_10178","HHA1_10178","44","M"
"A1_10179","HHA1_10179","53","F"
"A1_10180","HHA1_10180","65","F"
"A1_10181","HHA1_10181","62","M"
"A1_10182","HHA1_10182","48","M"
"A1_10183","HHA1_10183","65","M"
"A1_10184","HHA1_10184","63","M"
"A1_10185","HHA1_10185","48","M"
"A1_10186","HHA1_10186","64","M"
"A1_10187","HHA1_10187","45","M"
"A1_10188","HHA1_10188","48","M"
"A1_10189","HHA1_10189","65","M"
"A1_10190","HHA1_10190","49","M"
"A1_10191","HHA1_10191","49","F"
"A1_10192","HHA1_10192","39","M"
"A1_10193","HHA1_10193","61","F"
"A1_10194","HHA1_10194","33","M"
"A1_10195","HHA1_10195","49","M"
"A1_10196","HHA1_10196","65","F"
"A1_10197","HHA1_10197","46","M"
"A1_10198","HHA1_10198","39","F"
"A1_10199","HHA1_10199","45","F"
"A1_10200","HHA1_10200","51","F"
"A1_10201","HHA1_10201","65","F"
"A1_10202","HHA1_10202","61","M"
"A1_10203","HHA1_10203","69","F"
"A1_10204","HHA1_10204","34","F"
"A1_10205","HHA1_10205","35","F"
"A1_10206","HHA1_10206","24","F"
"A1_10207","HHA1_10207","63","M"
"A1_10208","HHA1_10208","42","F"
"A1_10209","HHA1_10209","69","M"
"A1_10210","HHA1_10210","41","M"
"A1_10211","HHA1_10211","37","F"
"A1_10212","HHA1_10212","40","M"
"A1_10213","HHA1_10213","57","F"
"A1_10214","HHA1_10214","68","F"
"A1_10215","HHA1_10215","65","M"
"A1_10216","HHA1_10216","52","F"
"A1_10217","HHA1_10217","67","F"
"A1_10218","HHA1_10218","43","M"
"A1_10219","HHA1_10219","47","F"
"A1_10220","HHA1_10220","31","M"
"A1_10221","HHA1_10221","33","M"
"A1_10222","HHA1_10222","47","F"
"A1_10223","HHA1_10223","30","F"
"A1_10224","HHA1_10224","73","F"
"A1_10225","HHA1_10225","30","M"
"A1_10226","HHA1_10226","32","F"
"A1_10227","HHA1_10227","35","F"
"A1_10228","HHA1_10228","56","M"
"A1_10229","HHA1_10229","30","M"
"A1_10230","HHA1_10230","67","M"
"A1_10231","HHA1_10231","52","M"
"A1_10232","HHA1_10232","32","M"
"A1_10233","HHA1_10233","35","M"
"A1_10234","HHA1_10234","66","M"
"A1_10235","HHA1_10235","53","M"
"A1_10236","HHA1_10236","44","F"
"A1_10237","HHA1_10237","30","M"
"A1_10238","HHA1_10238","60","F"
"A1_10239","HHA1_10239","36","F"
"A1_10240","HHA1_10240","64","M"
"A1_10241","HHA1_10241","58","F"
"A1_10242","HHA1_10242","20","F"
"A1_10243","HHA1_10243","62","M"
"A1_10244","HHA1_10244","31","M"
"A1_10245","HHA1_10245","41","M"
"A1_10246","HHA1_10246","47","M"
"A1_10247","HHA1_10247","42","F"
"A1_10248","HHA1_10248","67","F"
"A1_10249","HHA1_10249","66","F"
"A1_10250","HHA1_10250","21","F"
"A1_10251","HHA1_10251","33","M"
"A1_10252","HHA1_10252","60","F"
"A1_10253","HHA1_10253","59","M"
"A1_10254","HHA1_10254","56","M"
"A1_10255","HHA1_10255","61","M"
"A1_10256","HHA1_10256","58","M"
"A1_10257","HHA1_10257","38","M"
"A1_10258","HHA1_10258","58","M"
"A1_10259","HHA1_10259","42","F"
"A1_10260","HHA1_10260","48","M"
"A1_10261","HHA1_10261","42","F"
"A1_10262","HHA1_10262","66","M"
"A1_10263","HHA1_10263","59","M"
"A1_10264","HHA1_10264","48","M"
"A1_10265","HHA1_10265","68","F"
"A1_10266","HHA1_10266","64","F"
"A1_10267","HHA1_10267","61","F"
"A1_10268","HHA1_10268","57","M"
"A1_10269","HHA1_10269","34","F"
"A1_10270","HHA1_10270","44","F"
"A1_10271","HHA1_10271","21","M"
"A1_10272","HHA1_10272","56","F"
"A1_10273","HHA1_10273","43","F"
"A1_10274","HHA1_10274","30","F"
"A1_10275","HHA1_10275","64","F"
"A1_10276","HHA1_10276","65","M"
"A1_10277","HHA1_10277","41","M"
"A1_10278","HHA1_10278","63","F"
"A1_10279","HHA1_10279","48","M"
"A1_10280","HHA1_10280","30","F"
"A1_10281","HHA1_10281","64","M"
"A1_10282","HHA1_10282","54","F"
"A1_10283","HHA1_10283","34","F"
"A1_10284","HHA1_10284","68","M"
"A1_10285","HHA1_10285","49","F"
"A1_10286","HHA1_10286","41","M"
"A1_10287","HHA1_10287","63","F"
"A1_10288","HHA1_10288","56","F"
"A1_10289","HHA1_10289","24","F"
"A1_10290","HHA1_10290","66","F"
"A1_10291","HHA1_10291","67","M"
"A1_10292","HHA1_10292","70","F"
"A1_10293","HHA1_10293","50","M"
"A1_10294","HHA1_10294","37","F"
"A1_10295","HHA1_10295","46","F"
"A1_10296","HHA1_10296","43","M"
"A1_10297","HHA1_10297","43","M"
"A1_10298","HHA1_10298","53","M"
"A1_10299","HHA1_10299","32","M"
"A1_10300","HHA1_10300","36","F"
"A1_10301","HHA1_10301","53","M"
"A1_10302","HHA1_10302","32","M"
"A1_10303","HHA1_10303","50","M"
"A1_10304","HHA1_10304","22","F"
"A1_10305","HHA1_10305","26","F"
"A1_10306","HHA1_10306","27","F"
"A1_10307","HHA1_10307","51","F"
"A1_10308","HHA1_10308","48","M"
"A1_10309","HHA1_10309","35","F"
"A1_10310","HHA1_10310","29","F"
"A1_10311","HHA1_10311","62","M"
"A1_10312","HHA1_10312","27","M"
"A1_10313","HHA1_10313","32","M"
"A1_10314","HHA1_10314","43","M"
"A1_10315","HHA1_10315","64","M"
"A1_10316","HHA1_10316","40","F"
"A1_10317","HHA1_10317","43","M"
"A1_10318","HHA1_10318","45","M"
"A1_10319","HHA1_10319","65","M"
"A1_10320","HHA1_10320","48","M"
"A1_10321","HHA1_10321","39","F"
"A1_10322","HHA1_10322","31","F"
"A1_10323","HHA1_10323","31","F"
"A1_10324","HHA1_10324","52","M"
"A1_10325","HHA1_10325","49","M"
"A1_10326","HHA1_10326","26","F"
"A1_10327","HHA1_10327","32","F"
"A1_10328","HHA1_10328","62","M"
"A1_10329","HHA1_10329","37","M"
"A1_10330","HHA1_10330","65","F"
"A1_10331","HHA1_10331","69","M"
"A1_10332","HHA1_10332","63","M"
"A1_10333","HHA1_10333","57","F"
"A1_10334","HHA1_10334","48","M"
"A1_10335","HHA1_10335","38","F"
"A1_10336","HHA1_10336","36","F"
"A1_10337","HHA1_10337","44","M"
"A1_10338","HHA1_10338","51","M"
"A1_10339","HHA1_10339","30","F"
"A1_10340","HHA1_10340","43","F"
"A1_10341","HHA1_10341","34","F"
"A1_10342","HHA1_10342","27","M"
"A1_10343","HHA1_10343","49","M"
"A1_10344","HHA1_10344","23","F"
"A1_10345","HHA1_10345","32","F"
"A1_10346","HHA1_10346","37","F"
"A1_10347","HHA1_10347","47","F"
"A1_10348","HHA1_10348","58","M"
"A1_10349","HHA1_10349","52","M"
"A1_10350","HHA1_10350","34","M"
"A1_10351","HHA1_10351","26","F"
"A1_10352","HHA1_10352","65","F"
"A1_10353","HHA1_10353","66","M"
"A1_10354","HHA1_10354","35","M"
"A1_10355","HHA1_10355","55","F"
"A1_10356","HHA1_10356","61","F"
"A1_10357","HHA1_10357","37","F"
"A1_10358","HHA1_10358","44","F"
"A1_10359","HHA1_10359","27","F"
"A1_10360","HHA1_10360","40","F"
"A1_10361","HHA1_10361","59","M"
"A1_10362","HHA1_10362","40","M"
"A1_10363","HHA1_10363","22","M"
"A1_10364","HHA1_10364","39","M"
"A1_10365","HHA1_10365","25","F"
"A1_10366","HHA1_10366","42","M"
"A1_10367","HHA1_10367","37","M"
"A1_10368","HHA1_10368","41","M"
"A1_10369","HHA1_10369","61","M"
"A1_10370","HHA1_10370","63","M"
"A1_10371","HHA1_10371","51","F"
"A1_10372","HHA1_10372","33","M"
"A1_10373","HHA1_10373","73","M"
"A1_10374","HHA1_10374","43","M"
"A1_10375","HHA1_10375","70","M"
"A1_10376","HHA1_10376","51","F"
"A1_10377","HHA1_10377","38","M"
"A1_10378","HHA1_10378","33","F"
"A1_10379","HHA1_10379","76","M"
"A1_10380","HHA1_10380","58","M"
"A1_10381","HHA1_10381","31","M"
"A1_10382","HHA1_10382","43","M"
"A1_10383","HHA1_10383","23","M"
"A1_10384","HHA1_10384","67","M"
"A1_10385","HHA1_10385","47","M"
"A1_10386","HHA1_10386","28","M"
"A1_10387","HHA1_10387","42","F"
"A1_10388","HHA1_10388","43","M"
"A1_10389","HHA1_10389","18","M"
"A1_10390","HHA1_10390","34","F"
"A1_10391","HHA1_10391","22","F"
"A1_10392","HHA1_10392","35","M"
"A1_10393","HHA1_10393","45","F"
"A1_10394","HHA1_10394","32","M"
"A1_10395","HHA1_10395","31","M"
"A1_10396","HHA1_10396","61","M"
"A1_10397","HHA1_10397","65","M"
"A1_10398","HHA1_10398","29","F"
"A1_10399","HHA1_10399","34","M"
"A1_10400","HHA1_10400","69","F"
